COUNTY,RISK_SCORE
Autauga,49.220489977728285
Baldwin,97.709195036589250
Barbour,56.188355074769326
Bibb,32.484887050588611
Blount,65.128857779191847
Bullock,32.453070314985681
Butler,54.056633789373208
Calhoun,84.377982818962778
Chambers,42.348075087496021
Cherokee,42.061724467069681
Chilton,58.542793509385938
Choctaw,74.355711104040722
Clarke,72.096722876232903
Clay,22.367165128857781
Cleburne,22.558065542475340
Coffee,89.086859688196000
Colbert,71.905822462615333
Conecuh,47.534202990773146
Coosa,7.508749602290806
Covington,88.705058860960861
Crenshaw,46.261533566656063
Cullman,69.646834234807514
Dale,79.669105949729556
Dallas,57.842825326121542
DeKalb,69.424117085587028
Elmore,57.270124085268847
Escambia,91.377664651606750
Etowah,82.246261533566653
Fayette,29.398663697104677
Franklin,65.478841870824056
Geneva,65.542475342029903
Greene,18.040089086859687
Hale,33.153038498250083
Henry,49.888641425389757
Houston,90.677696468342347
Jackson,69.933184855233861
Jefferson,96.468342348075083
Lamar,29.685014317531021
Lauderdale,76.360165447025125
Lawrence,60.451797645561570
Lee,70.824053452115805
Limestone,73.592109449570472
Lowndes,26.503340757238309
Macon,20.999045497931913
Madison,91.282214444797958
Marengo,41.266306076996500
Marion,57.970092268533250
Marshall,85.173401209035944
Mobile,98.790964047088764
Monroe,58.892777601018132
Montgomery,86.255170219535472
Morgan,88.132357620108181
Perry,13.713013044861597
Pickens,44.829780464524340
Pike,63.251670378619153
Randolph,29.462297168310531
Russell,39.261851734012090
St. Clair,70.792236716512889
Shelby,87.400572701240847
Sumter,51.065860642698055
Talladega,71.810372255806556
Tallapoosa,50.047725103404396
Tuscaloosa,87.114222080814514
Walker,73.337575564747056
Washington,58.001909004136174
Wilcox,23.003499840916323
Winston,44.002545338848236
Aleutians East,4.231625835189309
Aleutians West,35.221126312440340
Anchorage,94.845688832325806
Bethel,16.926503340757236
Bristol Bay,0.159083678014636
Chugach,8.017817371937639
Copper River,2.036271078587337
Denali,11.708558701877188
Dillingham,2.163538020999046
Fairbanks North Star,82.373528475978361
Haines,3.722558065542475
Hoonah-Angoon,4.708876869233217
Juneau,19.758192809417753
Kenai Peninsula,90.964047088768694
Ketchikan Gateway,0.381800827235126
Kodiak Island,68.755965637925556
Kusilvak,3.277123767101495
Lake and Peninsula,1.654470251352211
Matanuska-Susitna,88.959592745784278
Nome,3.404390709513204
North Slope,8.940502704422526
Northwest Arctic,2.068087814190264
Petersburg,0.445434298440980
Prince of Wales-Hyder,0.286350620426344
Sitka,18.485523385300667
Skagway,1.463569837734648
Southeast Fairbanks,58.415526566974229
Wrangell,0.190900413617563
Yakutat,2.608972319440026
Yukon-Koyukuk,45.052497613744826
Apache,43.398027362392618
Cochise,85.873369392300347
Coconino,90.232262169901361
Gila,85.268851415844736
Graham,68.183264397072861
Greenlee,6.967865097041044
La Paz,69.010499522748972
Maricopa,97.327394209354125
Mohave,88.418708240534514
Navajo,80.941775373846653
Pima,94.972955774737514
Pinal,93.127585109767736
Santa Cruz,68.374164810690417
Yavapai,88.832325803372569
Yuma,91.664015272033097
Arkansas,62.106267896913778
Ashley,59.433662106267896
Baxter,73.496659242761694
Benton,87.559656379255486
Boone,70.442252624880680
Bradley,30.607699650015906
Calhoun,11.040407254215717
Carroll,68.278714603881639
Chicot,59.592745784282528
Clark,51.797645561565389
Clay,64.333439389118681
Cleburne,72.446706967865097
Cleveland,11.422208081450844
Columbia,48.456888323258035
Conway,67.515112949411389
Craighead,92.332166719694570
Crawford,77.441934457524653
Crittenden,80.750874960229083
Cross,66.496977410117722
Dallas,13.967546929685016
Desha,44.734330257715563
Drew,39.675469296850139
Faulkner,89.182309895004778
Franklin,49.920458160992681
Fulton,45.784282532612153
Garland,86.127903277123764
Grant,29.080496341075406
Greene,78.682787146038820
Hempstead,58.160992682150813
Hot Spring,61.851734012090361
Howard,42.729875914731146
Independence,78.046452433980278
Izard,49.347756920139993
Jackson,74.928412344893417
Jefferson,84.250715876551070
Johnson,69.265033407572389
Lafayette,30.321349029589562
Lawrence,68.978682787146042
Lee,55.838370983137132
Lincoln,46.866051543111674
Little River,25.612472160356347
Logan,52.052179446388806
